Project Ref;Calculation Design Stage;UK District;GIFA (m2);Project Value (œm);Value Type;Project Sector;Construction Type;Storeys (#);Passivhaus;Basement Type;Foundation Type;Ground Floor Type;Superstructure Type;Cladding Type;Carbon A1-A3 (kgCO2e);Carbon A1-A5 (kgCO2e);Carbon A1-C4 (kgCO2e);Carbon A1-D (kgCO2e);A1-A3 Rate (kgCO2e/m2);A1-A5 Rate (kgCO2e/m2);A1-C4 Rate (kgCO2e/m2);A1-D Rate (kgCO2e/m2);Construction Carbon (A1-A5) (kgCO2e);Construction % Carbon (A1-A5);Concrete Total Mass (kg);Concrete Total Carbon (A1-A5) (kgCO2e);Concrete % Carbon (A1-A5);Masonry & Blockwork Total Area (m2);Masonry & Blockwork Total Carbon (A1-A5) (kgCO2e);Masonry % Blockwork % Carbon (A1-A5);Reinforcement Total Mass (kg);Reinforcement Total Carbon (A1-A5) (kgCO2e);Reinforcement % Carbon (A1-A5);Steel (Other) Total Mass (kg);Steel (Other) Total Carbon (A1-A5) (kgCO2e);Steel (Other) % Carbon (A1-A5);Steel (Sections) Total Mass (kg);Steel (Sections) Total Carbon (A1-A5) (kgCO2e);Steel (Sections) % Carbon (A1-A5);Timber (Plain) Total Mass (kg);Timber (Plain) Total Carbon (A1-A5) (kgCO2e);Timber (Plain) % Carbon (A1-A5);Timber (Products) Total Mass (kg);Timber (Products) Total Carbon (A1-A5) (kgCO2e);Timber (Products) % Carbon (A1-A5)
133;As-Built;E3;1513;10;Whole Building;Educational;New Build (Brownfield);3;No;None;Piled Ground Beams;Suspended RC;Steel Frame/Composite;Lightweight/SFS;393715;491580;514089;425485;260,2;324,9;339,8;281,2;70000;14,20%;1030625;108475;22,10%;0;0;0,00%;29621;63073;12,80%;18010;55907;11,40%;121266;193797;39,40%;927;329;0,10%;0;0;0,00%
134;As-Built;CO4;5428;12;Whole Building;Educational;New Build (Greenfield);3;No;None;Mass Pads/Strips;Ground Bearing RC;Steel Frame/Composite;Lightweight Only;940226;1092154;1154172;981019;173,2;201,2;212,6;180,7;84000;7,70%;3364800;367619;33,70%;0;0;0,00%;74405;158433;14,50%;17900;55565;5,10%;266900;426537;39,10%;0;0;0,00%;0;0;0,00%
135;Stage 5;W1;125;1;Whole Building;Residential (Single);New Build (Brownfield);5;No;None;Piled Ground Beams;Suspended RC;Steel Frame/Composite;Masonry/Stone;35602;45098;46823;39354;284,8;360,8;374,6;314,8;7000;15,50%;92750;10987;24,40%;0;0;0,00%;1500;3194;7,10%;1750;5432;12,00%;11500;18378;40,80%;300;106;0,20%;0;0;0,00%
136;As-Built;CB3;19512;40;Whole Building;Residential (Multi);New Build (Greenfield);6;No;Full Footprint;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/SFS;5496911;6276534;6614711;5815419;281,7;321,7;339;298;280000;4,50%;28079606;3842155;61,20%;0;0;0,00%;1011762;2154378;34,30%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
137;As-Built;OX2;2395;6;Whole Building;Residential (Multi);New Build (Brownfield);5;No;Partial Footprint;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/SFS;762800;874203;921098;798553;318,5;365;384,6;333,4;42000;4,80%;3818159;501901;57,40%;0;0;0,00%;155120;330302;37,80%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
138;As-Built;SM2;10220;38;Whole Building;Educational;New Build (Brownfield);4;Yes;None;Reinforced Pads/Strips;Ground Bearing RC;Timber Frame (Glulam/CLT);Timber/SFS;2726136;3413059;3632936;2666348;266,7;334;355,5;260,9;266000;7,80%;11051550;1161106;34,00%;0;0;0,00%;539350;1148456;33,60%;0;0;0,00%;24100;38515;1,10%;0;0;0,00%;1319661;798983;23,40%
139;As-Built;SE1;5500;23,5;Whole Building;Cultural/Public;New Build (Greenfield);9;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry Only;2544984;2931600;3095217;2447067;462,7;533;562,8;444,9;164500;5,60%;9470640;1005373;34,30%;0;0;0,00%;809685;1724089;58,80%;0;0;0,00%;22152;35401;1,20%;4500;2237;0,10%;0;0;0,00%
140;As-Built;SL9;1729;6,5;Whole Building;Cultural/Public;New Build (Brownfield);3;No;Partial Footprint;Piles (Pile Caps);Ground Bearing RC;Steel Frame/Precast;Masonry/SFS;747103;837819;872577;720686;432,1;484,6;504,7;416,8;45500;5,40%;1833807;202038;24,10%;0;0;0,00%;69160;147265;17,60%;4553;14133;1,70%;268368;428883;51,20%;0;0;0,00%;0;0;0,00%
141;As-Built;SE17;1850;7;Whole Building;Residential (Multi);New Build (Brownfield);6;No;None;Mass Pads/Strips;Suspended RC;Concrete (In-Situ);Masonry Only;554782;651202;678204;578219;299,9;352;366,6;312,6;49000;7,50%;2238548;331726;50,90%;0;0;0,00%;125943;268175;41,20%;0;0;0,00%;1440;2301;0,40%;0;0;0,00%;0;0;0,00%
142;As-Built;OX14;2054;7;Whole Building;Educational;New Build (Brownfield);3;No;None;Piles (Pile Caps);Suspended RC;Steel Frame/Precast;Masonry/SFS;298168;376397;409093;352347;145,2;183,3;199,2;171,5;49000;13,00%;1732680;169287;45,00%;0;0;0,00%;62735;133584;35,50%;2900;9002;2,40%;9557;15273;4,10%;504;251;0,10%;0;0;0,00%
143;As-Built;OX27;1210;4;Whole Building;Commercial;New Build (Greenfield);3;Yes;None;Raft;Raft;Concrete (In-Situ);Timber Only;349416;412026;430388;346332;288,8;340,5;355,7;286,2;28000;6,80%;1276375;170095;41,30%;0;0;0,00%;59993;127745;31,00%;27220;84496;20,50%;0;0;0,00%;3400;1690;0,40%;0;0;0,00%
